prod_id,addOnId,data_limit,simMode,fupLimit,operatorId,additional_note,amount,productName,postFupSpeed,validity,coverageDestinations,allocatedDestinations
1001,eSim-PB-SG-VA-1-5-16,0,2,1.0,105,,507.63,"eSIM - Singapore, Malaysia - 1 GB/Day For 5 Days",128.0,5,"SGP,MYS","SGP,MYS,SGMY"
1002,#pS-PB-HK-VA-1-1-2_,0,1,1.0,105,,507.63,"Plastic SIM - HongKong, Macau - 1 GB/Day For 7 Days",128.0,7,"HKG,MAC","HKMC,HKG,MAC"
1003,eSim-PB-HK-VA-1-7-3,0,2,1.0,105,,507.63,"eSIM - HongKong, Macau - 1 GB/Day For 7 Days",128.0,7,"HKG,MAC","HKMC,HKG,MAC"
1004,eSim-PB-JP-VA-1-7-3,0,2,1.0,105,,507.63,eSIM - Japan - 1 GB/Day For 7 Days,128.0,7,JPN,JPN
1005,#pS-PB-SG-VA-500M-1-3_,0,1,0.5,105,,507.63,"Plastic SIM - Singapore, Malaysia - 0.5 GB/Day For 7 Days",128.0,7,"MYS,SGP","SGMY,MYS,SGP"
1006,eSim-PB-SG-VA-1-7-16,0,2,1.0,105,,507.63,"eSIM - Singapore, Malaysia - 1 GB/Day For 7 Days",128.0,7,"SGP,MYS","SGP,MYS,SGMY"
1007,#pS-PB-TR-VA-1-1-1_,0,1,1.0,105,,507.63,Plastic SIM - Turkey - 1 GB/Day For 7 Days,128.0,7,TUR,TUR
1008,eSim-PB-VN-VA-5-20-1,0,2,5.0,105,Free Incoming Calls & SMS Reception,507.63,eSIM - Vietnam - 5 GB/Day For 20 Days,,20,VNM,VNM
1009,eSim-PB-HK-VA-2-5-2,0,2,2.0,105,,592.37,"HongKong, Macau 2GB/Day -5 Days",128.0,5,"HKG, MAC",HKG
1010,eSim-PB-JP-VA-2-5-2,0,2,2.0,105,,677.12,eSIM - Japan - 2 GB/Day For 5 Days,128.0,5,JPN,JPN
1011,eSim-PB-SG-VA-2-5-6,0,2,2.0,105,,677.12,"eSIM - Singapore, Malaysia - 2 GB/Day For 5 Days",128.0,5,"SGP,MYS","SGP,MYS,SGMY"
1012,#pS-PB-SE-VA-1-1-2_,0,1,1.0,105,,677.12,Plastic SIM - Europe[8] - 1 GB/Day For 7 Days,128.0,7,"AUT,DNK,FRA,GBR,IRL,ISR,ITA,SWE","AUT,DNK,FRA,GBR,IRL,ISR,ITA,SWE"
1013,#pS-PB-UZ-VA-500M-1_,0,1,0.5,105,,677.12,Plastic SIM - Europe[+] - 0.5 GB/Day For 7 Days,128.0,7,"ALB,IRL,EST,AUT,BGR,BEL,ISL,POL,DNK,DEU,FRA,FIN,KAZ,NLD,MNE,CZE,HRV,LVA,LTU,LIE,LUX,ROU,MLT,USA,MDA,NOR,PRT,SWE,CHE,CYP,SVK,SVN,TUR,UKR,ESP,GRC,HUN,ISR,ITA,GBR,KGZ,UZB,PAK,NZL,SRB","EUR,ALB,EST,BGR,BEL,POL,DEU,FIN,KAZ,NLD,MNE,CZE,HRV,LVA,LTU,LIE,LUX,ROU,MLT,MDA,NOR,PRT,CHE,CYP,SVK,SVN,UKR,ESP,GRC,HUN,KGZ,UZB,SRB"
