order_no,order_date_time,user_id,product_id,amount,discount_amount,created_by
1001,2026-01-01,1011,1223,592.37,0,1002
1002,2026-01-01,1012,1313,1100.85,0,1002
1003,2026-01-01,1013,1313,1100.85,0,1002
1004,2026-01-01,1014,1202,2541.53,0,1002
1005,2026-01-01,1015,1239,846.61,0,1002
1006,2026-01-02,1016,1204,422.88,0,1002
1007,2026-01-02,1018,1256,931.36,0,1006
1008,2026-01-02,1019,1124,253.39,0,1009
1009,2026-01-02,1020,1113,253.39,0,1002
1010,2026-01-02,1021,1391,761.86,0,1009
1011,2026-01-03,1022,1257,931.36,0,1002
1012,2026-01-04,1023,1391,761.86,0,1002
1013,2026-01-04,1024,1391,761.86,0,1005
1014,2026-01-04,1025,1223,592.37,0,1002
1015,2026-01-04,1026,1223,592.37,0,1009
1016,2026-01-04,1027,1223,592.37,0,1005
1017,2026-01-05,1029,1391,761.86,0,1005
1018,2026-01-05,1030,1391,761.86,0,1005
1019,2026-01-05,1031,1121,253.39,0,1002
1020,2026-01-05,1031,1391,761.86,0,1002
1021,2026-01-05,1032,1391,761.86,0,1002
1022,2026-01-05,1033,1254,846.61,0,1028
1023,2026-01-05,1034,1391,761.86,0,1005
1024,2026-01-06,1035,1391,761.86,0,1005
1025,2026-01-06,1036,1391,761.86,0,1028
1026,2026-01-06,1037,1391,761.86,0,1005
1027,2026-01-06,1038,1391,761.86,0,1028
1028,2026-01-06,1039,1134,338.14,0,1006
1029,2026-01-07,1040,1391,761.86,0,1009
1030,2026-01-07,1041,1121,253.39,0,1005
1031,2026-01-07,1042,1236,761.86,0,1028
1032,2026-01-07,1043,1236,761.86,0,1005
1033,2026-01-07,1044,1236,761.86,0,1009
1034,2026-01-07,1045,1135,338.14,0,1006
1035,2026-01-07,1046,1135,338.14,0,1002
1036,2026-01-07,1047,1121,253.39,0,1002
1037,2026-01-08,1048,1124,253.39,0,1002
1038,2026-01-08,1049,1391,761.86,0,1002
1039,2026-01-08,1050,1136,422.88,0,1002
1040,2026-01-08,1051,1343,2541.53,0,1006
1041,2026-01-08,1052,1344,5507.63,0,1006
1042,2026-01-08,1053,1183,592.37,29.6185,1009
1043,2026-01-08,1054,1134,338.14,0,1006
1044,2026-01-08,1055,1134,338.14,0,1009
1045,2026-01-08,1056,1134,338.14,0,1009
1046,2026-01-08,1057,1126,338.14,0,1009
1047,2026-01-09,1058,1391,761.86,0,1003
1048,2026-01-09,1059,1391,761.86,0,1002
1049,2026-01-09,1060,1123,253.39,0,1003
1050,2026-01-09,1061,1162,422.88,0,1005
1051,2026-01-09,1062,1183,592.37,0,1005
1052,2026-01-09,1063,1120,253.39,0,1005
1053,2026-01-09,1064,1225,592.37,29.6185,1006
1054,2026-01-10,1066,1105,253.39,0,1003
1055,2026-01-10,1067,1167,422.88,0,1002
1056,2026-01-10,1069,1391,761.86,0,1005
1057,2026-01-10,1070,1110,253.39,0,1005
1058,2026-01-10,1071,1129,338.14,0,1009
1059,2026-01-10,1073,1088,2287.29,228.729,1003
1060,2026-01-11,1076,1164,422.88,0,1003
1061,2026-01-11,1077,1391,761.86,0,1005
1062,2026-01-11,1078,1188,592.37,29.6185,1006
1063,2026-01-11,1079,1131,338.14,0,1028
1064,2026-01-11,1080,1324,1270.34,0,1006
1065,2026-01-11,1082,1391,761.86,0,1003
1066,2026-01-11,1084,1121,253.39,0,1002
1067,2026-01-12,1085,1121,253.39,0,1002
1068,2026-01-12,1086,1260,931.36,0,1003
1069,2026-01-12,1087,1139,422.88,0,1028
1070,2026-01-12,1088,1353,1016.1,0,1003
1071,2026-01-13,1090,1121,253.39,0,1003
1072,2026-01-13,1091,1113,253.39,0,1003
1073,2026-01-13,1092,1121,253.39,0,1002
1074,2026-01-13,1093,1336,1694.07,0,1009
1075,2026-01-13,1093,1273,1694.07,0,1009
1076,2026-01-13,1094,1126,338.14,0,1006
1077,2026-01-13,1095,1124,253.39,0,1006
1078,2026-01-14,1096,1121,253.39,0,1002
1079,2026-01-14,1097,1097,2965.25,296.525,1006
1080,2026-01-14,1098,1114,253.39,0,1006
1081,2026-01-14,1098,1114,253.39,0,1006
1082,2026-01-14,1099,1121,253.39,0,1006
1083,2026-01-14,1100,1391,761.86,0,1006
1084,2026-01-14,1101,1152,253.39,0,1002
1085,2026-01-14,1102,1121,253.39,0,1009
1086,2026-01-14,1103,1121,253.39,0,1003
1087,2026-01-15,1104,1147,592.37,0,1003
1088,2026-01-15,1104,1147,592.37,0,1003
1089,2026-01-15,1105,1391,761.86,0,1002
1090,2026-01-15,1106,1121,253.39,0,1003
1091,2026-01-15,1107,1149,1270.34,0,1002
1092,2026-01-15,1108,1121,253.39,0,1009
1093,2026-01-15,1109,1121,253.39,0,1003
1094,2026-01-15,1110,1391,761.86,0,1005
1095,2026-01-15,1111,1391,761.86,0,1005
1096,2026-01-15,1112,1124,253.39,0,1006
1097,2026-01-15,1113,1132,338.14,0,1006
1098,2026-01-15,1114,1133,338.14,0,1006
1099,2026-01-15,1115,1124,253.39,0,1002
1100,2026-01-15,1116,1124,253.39,0,1003
1101,2026-01-15,1117,1124,253.39,0,1002
1102,2026-01-15,1118,1124,253.39,0,1003
1103,2026-01-16,1119,1391,761.86,0,1003
1104,2026-01-16,1120,1391,761.86,0,1002
1105,2026-01-16,1121,1391,761.86,0,1005
1106,2026-01-16,1122,1391,761.86,0,1005
1107,2026-01-16,1123,1126,338.14,0,1005
1108,2026-01-16,1124,1121,253.39,0,1005
1109,2026-01-16,1125,1126,338.14,0,1005
1110,2026-01-16,1126,1391,761.86,0,1005
1111,2026-01-16,1127,1391,761.86,0,1005
1112,2026-01-17,1128,1121,253.39,0,1003
1113,2026-01-17,1129,1121,253.39,0,1002
1114,2026-01-17,1130,1121,253.39,0,1003
1115,2026-01-17,1131,1113,253.39,0,1002
1116,2026-01-17,1132,1106,253.39,0,1028
1117,2026-01-17,1133,1133,338.14,0,1005
1118,2026-01-17,1134,1391,761.86,0,1005
1119,2026-01-17,1135,1126,338.14,0,1006
1120,2026-01-17,1136,1145,507.63,0,1006
1121,2026-01-17,1137,1228,592.37,0,1006
1122,2026-01-17,1138,1334,1694.07,0,1006
1123,2026-01-17,1139,1391,761.86,0,1002
1124,2026-01-17,1140,1121,253.39,0,1003
1125,2026-01-18,1141,1340,2117.8,0,1003
1126,2026-01-18,1142,1183,592.37,0,1003
1127,2026-01-18,1143,1121,253.39,0,1005
1128,2026-01-18,1144,1121,253.39,0,1005
1129,2026-01-18,1145,1121,253.39,0,1005
1130,2026-01-18,1146,1121,253.39,0,1005
1131,2026-01-18,1147,1121,253.39,0,1005
1132,2026-01-18,1148,1135,338.14,0,1005
1133,2026-01-18,1149,1391,761.86,0,1005
1134,2026-01-18,1150,1097,2965.25,0,1005
1135,2026-01-18,1151,1121,253.39,0,1006
1136,2026-01-18,1152,1121,253.39,0,1006
1137,2026-01-18,1153,1121,253.39,0,1006
1138,2026-01-18,1154,1121,253.39,0,1006
1139,2026-01-18,1155,1121,253.39,0,1006
1140,2026-01-18,1156,1128,338.14,0,1006
1141,2026-01-18,1157,1145,507.63,0,1006
1142,2026-01-18,1158,1241,846.61,0,1009
1143,2026-01-18,1159,1132,338.14,0,1009
1144,2026-01-18,1160,1121,253.39,0,1009
1145,2026-01-18,1161,1121,253.39,0,1009
1146,2026-01-19,1162,1135,338.14,0,1002
1147,2026-01-19,1163,1199,931.36,0,1003
1148,2026-01-19,1164,1121,253.39,0,1009
1149,2026-01-19,1165,1338,2117.8,0,1003
1150,2026-01-19,1166,1223,592.37,0,1009
1151,2026-01-19,1167,1162,422.88,0,1009
1152,2026-01-19,1168,1135,338.14,0,1005
1153,2026-01-19,1169,1306,1016.1,0,1005
1154,2026-01-19,1170,1133,338.14,0,1005
1155,2026-01-19,1171,1121,253.39,0,1005
1156,2026-01-19,1172,1121,253.39,0,1005
1157,2026-01-19,1173,1121,253.39,0,1005
1158,2026-01-19,1174,1121,253.39,0,1028
1159,2026-01-19,1175,1121,253.39,0,1028
1160,2026-01-19,1176,1127,338.14,0,1028
1161,2026-01-19,1177,1121,253.39,0,1002
1162,2026-01-19,1178,1121,253.39,0,1003
1163,2026-01-19,1179,1113,253.39,0,1002
1164,2026-01-20,1180,1121,253.39,0,1003
1165,2026-01-20,1181,1121,253.39,0,1002
1166,2026-01-20,1182,1213,422.88,0,1003
1167,2026-01-20,1183,1121,253.39,0,1002
1168,2026-01-20,1184,1121,253.39,0,1003
1169,2026-01-20,1185,1121,253.39,0,1002
1170,2026-01-20,1185,1121,253.39,0,1003
1171,2026-01-20,1186,1121,253.39,0,1005
1172,2026-01-20,1187,1169,422.88,0,1005
1173,2026-01-20,1188,1233,677.12,0,1005
1174,2026-01-20,1189,1170,422.88,0,1005
1175,2026-01-20,1190,1121,253.39,0,1005
1176,2026-01-20,1191,1121,253.39,0,1003
1177,2026-01-21,1192,1263,1100.85,0,1009
1178,2026-01-21,1193,1259,931.36,0,1003
1179,2026-01-21,1194,1170,422.88,0,1003
1180,2026-01-21,1195,1256,931.36,0,1005
1181,2026-01-21,1196,1121,253.39,0,1005
1182,2026-01-21,1197,1134,338.14,0,1005
1183,2026-01-21,1198,1126,338.14,0,1005
1184,2026-01-21,1199,1133,338.14,0,1006
1185,2026-01-21,1200,1226,592.37,0,1028
1186,2026-01-21,1201,1135,338.14,0,1002
1187,2026-01-22,1202,1169,422.88,0,1003
1188,2026-01-22,1203,1121,253.39,0,1009
1189,2026-01-22,1204,1121,253.39,0,1002
1190,2026-01-22,1205,1135,338.14,0,1003
1191,2026-01-22,1206,1391,761.86,0,1005
1192,2026-01-22,1207,1391,761.86,0,1005
1193,2026-01-22,1208,1391,761.86,0,1005
1194,2026-01-22,1209,1149,1270.34,0,1005
1195,2026-01-22,1210,1392,761.86,0,1005
1196,2026-01-22,1211,1120,253.39,0,1005
1197,2026-01-22,1212,1391,761.86,0,1005
1198,2026-01-22,1213,1391,761.86,0,1005
1199,2026-01-22,1214,1126,338.14,0,1006
1200,2026-01-22,1215,1139,422.88,0,1006
1201,2026-01-22,1216,1139,422.88,0,1006
1202,2026-01-22,1217,1167,422.88,0,1006
1203,2026-01-22,1218,1126,338.14,0,1006
1204,2026-01-22,1219,1158,422.88,0,1006
1205,2026-01-22,1220,1121,253.39,0,1009
1206,2026-01-22,1221,1241,846.61,0,1002
1207,2026-01-22,1222,1165,422.88,0,1002
1208,2026-01-23,1223,1121,253.39,0,1009
1209,2026-01-23,1224,1130,338.14,0,1002
1210,2026-01-23,1225,1391,761.86,0,1005
1211,2026-01-23,1226,1294,846.61,84.661,1005
1212,2026-01-23,1227,1391,761.86,0,1005
1213,2026-01-23,1228,1135,338.14,0,1005
1214,2026-01-23,1229,1106,253.39,0,1005
1215,2026-01-23,1230,1391,761.86,0,1005
1216,2026-01-23,1231,1371,1694.07,0,1003
1217,2026-01-24,1232,1130,338.14,0,1002
1218,2026-01-24,1233,1392,761.86,0,1005
1219,2026-01-24,1234,1302,1016.1,0,1005
1220,2026-01-24,1235,1392,761.86,0,1005
1221,2026-01-24,1236,1056,1270.34,127.034,1002
1222,2026-01-24,1237,1056,1270.34,127.034,1009
1223,2026-01-24,1238,1056,1270.34,0,1003
1224,2026-01-25,1239,1219,507.63,0,1002
1225,2026-01-25,1240,1391,761.86,0,1009
1226,2026-01-25,1241,1223,592.37,0,1003
1227,2026-01-25,1242,1391,761.86,0,1002
1228,2026-01-25,1243,1392,761.86,0,1003
1229,2026-01-25,1244,1392,761.86,0,1009
1230,2026-01-25,1245,1353,1016.1,0,1002
1231,2026-01-25,1246,1143,422.88,0,1009
1232,2026-01-25,1247,1391,761.86,0,1003
1233,2026-01-25,1248,1392,761.86,0,1002
1234,2026-01-25,1249,1391,761.86,0,1009
1235,2026-01-25,1250,1392,761.86,0,1005
1236,2026-01-25,1251,1391,761.86,0,1005
1237,2026-01-25,1252,1392,761.86,0,1005
1238,2026-01-25,1253,1391,761.86,0,1005
1239,2026-01-25,1254,1085,2117.8,0,1006
1240,2026-01-26,1255,1299,931.36,93.136,1028
1241,2026-01-26,1256,1183,592.37,0,1028
1242,2026-01-26,1257,1279,677.12,0,1005
1243,2026-01-26,1258,1392,761.86,0,1005
1244,2026-01-26,1259,1392,761.86,0,1005
1245,2026-01-26,1260,1235,761.86,0,1003
